Item,AUD,CAD,CNY,EUR,GBP,HKD,IDR,JPY,NOK,NZD,RUB,SGD,TWD,USD
Exchange rate,1 AUD = 0.7621270000 USD,1 CAD = 0.7678900000 USD,1 CNY = 0.1543550000 USD,1 EUR = 1.1268300000 USD,1 GBP = 1.4409800000 USD,1 HKD = 0.1289770000 USD,1 IDR = 0.0000759220 USD,1 JPY = 0.0089674000 USD,1 NOK = 0.1194560000 USD,1 NZD = 0.6786720000 USD,1 RUB = 0.0146606000 USD,1 SGD = 0.7363320000 USD,1 TWD = 0.0309369000 USD,1 USD = 1.0000000000 USD
Locale,Australian,Canada,China,Europe,English,HongKong,Indonesia,Japan,Norway,New Zealand,Russia,Singapore,TaiWan,USA
